"id","sex","smoking","alcohol","people_main","political","personal_main"
"4521954","male","not specified","not specified","not specified","not specified","not specified"
"1851261","female","not specified","not specified","not specified","not specified","not specified"
"5347475","female","not specified","not specified","not specified","not specified","not specified"
"8701749","female","not specified","not specified","not specified","not specified","not specified"
"3274155","male","not specified","not specified","not specified","not specified","not specified"
"6496165","female","not specified","not specified","not specified","not specified","not specified"
"8883569","male","not specified","not specified","not specified","not specified","not specified"
"8370557","male","not specified","not specified","not specified","not specified","not specified"
"7917252","female","not specified","not specified","not specified","not specified","not specified"
"806294","male","not specified","not specified","not specified","not specified","not specified"
"3907828","female","not specified","not specified","not specified","not specified","not specified"
"2888536","female","not specified","not specified","not specified","not specified","not specified"
"7032423","male","not specified","not specified","not specified","not specified","not specified"
"5093347","male","not specified","not specified","not specified","not specified","not specified"
"3653511","male","not specified","compromisable","kindness and honesty","Liberal","not specified"
"4912929","female","not specified","not specified","not specified","Moderate","not specified"
"6358899","male","not specified","not specified","not specified","not specified","not specified"
"3341755","male","not specified","not specified","not specified","not specified","not specified"
"6332836","female","not specified","not specified","not specified","not specified","not specified"
"104995","female","not specified","not specified","not specified","not specified","not specified"
"4162489","male","not specified","not specified","not specified","not specified","not specified"
"3145182","male","not specified","not specified","kindness and honesty","not specified","not specified"
"2592500","male","not specified","not specified","not specified","Moderate","not specified"
"1419233","female","not specified","not specified","not specified","not specified","not specified"
"2025815","female","not specified","not specified","not specified","not specified","not specified"
"1617026","female","not specified","not specified","not specified","not specified","not specified"
"198143","male","not specified","not specified","not specified","not specified","not specified"
"2092308","female","not specified","not specified","not specified","not specified","not specified"
"9061107","male","negative","positive","not specified","not specified","not specified"
"2310746","male","not specified","not specified","not specified","Moderate","not specified"
"6735924","male","not specified","not specified","not specified","not specified","not specified"
"932939","male","not specified","not specified","not specified","not specified","not specified"
"4480293","female","negative","neutral","humor and love for life","Liberal","not specified"
"7903283","female","not specified","not specified","not specified","not specified","not specified"
"7044169","male","not specified","not specified","not specified","Liberal","not specified"
"803151","female","not specified","not specified","not specified","not specified","not specified"
"7498760","male","not specified","not specified","not specified","Liberal","not specified"
"8429592","female","not specified","not specified","not specified","not specified","not specified"
"831537","female","not specified","not specified","not specified","not specified","not specified"
"5085726","female","not specified","not specified","not specified","not specified","not specified"
"8147660","female","not specified","not specified","not specified","not specified","not specified"
"113274","female","not specified","not specified","not specified","not specified","not specified"
"934682","female","not specified","not specified","not specified","not specified","not specified"
"1377573","female","not specified","not specified","not specified","not specified","not specified"
"7838589","male","not specified","not specified","not specified","Moderate","not specified"
"2945725","male","not specified","not specified","not specified","not specified","not specified"
"1083525","female","not specified","not specified","not specified","not specified","not specified"
"8777230","male","not specified","not specified","not specified","not specified","not specified"
"5952641","female","not specified","not specified","not specified","Moderate","not specified"
"7359213","female","not specified","not specified","not specified","not specified","not specified"
"3348449","male","not specified","not specified","not specified","not specified","not specified"
"856032","male","not specified","not specified","not specified","not specified","not specified"
"9094811","male","not specified","not specified","not specified","Monarchist","not specified"
"6549611","male","not specified","not specified","not specified","not specified","not specified"
"2663930","female","not specified","not specified","not specified","not specified","not specified"
"9532466","female","not specified","not specified","not specified","Moderate","not specified"
"8675618","female","not specified","not specified","not specified","not specified","not specified"
"4673344","male","not specified","not specified","not specified","not specified","not specified"
"1363514","male","not specified","not specified","not specified","Moderate","not specified"
"51007","female","not specified","not specified","not specified","not specified","not specified"
"3339575","female","not specified","not specified","not specified","not specified","not specified"
"3381527","male","not specified","not specified","not specified","Moderate","not specified"
"1658102","male","not specified","not specified","not specified","not specified","not specified"
"6438701","female","not specified","not specified","not specified","not specified","not specified"
"3544146","female","not specified","not specified","not specified","not specified","not specified"
"2559461","male","not specified","not specified","not specified","not specified","not specified"
"2281581","female","not specified","not specified","not specified","not specified","not specified"
"4654397","male","not specified","not specified","not specified","not specified","not specified"
"2364316","male","not specified","not specified","not specified","not specified","not specified"
"8435209","male","not specified","not specified","not specified","not specified","not specified"
"8652632","male","not specified","not specified","not specified","not specified","not specified"
"1282277","female","not specified","not specified","not specified","not specified","not specified"
"8423465","female","not specified","not specified","not specified","not specified","not specified"
"3076195","female","not specified","not specified","not specified","not specified","not specified"
"5744475","male","not specified","not specified","not specified","not specified","not specified"
"9019404","male","not specified","not specified","not specified","Moderate","not specified"
"5554601","male","not specified","not specified","not specified","not specified","not specified"
"7963572","male","not specified","not specified","not specified","not specified","not specified"
"2210163","female","not specified","not specified","not specified","not specified","not specified"
"1725616","male","not specified","not specified","not specified","not specified","not specified"
"5755734","female","not specified","not specified","not specified","not specified","not specified"
"9677533","female","not specified","not specified","not specified","not specified","not specified"
"215314","female","not specified","not specified","not specified","not specified","not specified"
"408895","female","not specified","not specified","not specified","Moderate","not specified"
"4171177","male","not specified","not specified","not specified","not specified","not specified"
"2911370","female","not specified","not specified","not specified","not specified","not specified"
"2813742","female","not specified","not specified","not specified","not specified","not specified"
"2766878","female","not specified","not specified","not specified","not specified","not specified"
"8563850","female","not specified","not specified","not specified","not specified","not specified"
"3894419","female","not specified","not specified","not specified","not specified","not specified"
"7309397","male","not specified","not specified","not specified","not specified","not specified"
"9269611","male","not specified","not specified","not specified","Moderate","not specified"
"9584363","female","not specified","not specified","not specified","not specified","not specified"
"1256605","female","not specified","not specified","not specified","not specified","not specified"
"68757","male","not specified","not specified","not specified","not specified","not specified"
"6372610","male","not specified","not specified","not specified","not specified","not specified"
"9325635","female","not specified","not specified","humor and love for life","not specified","not specified"
"1326981","female","not specified","not specified","not specified","not specified","not specified"
"7702787","male","not specified","not specified","not specified","not specified","not specified"
"7262540","female","not specified","not specified","not specified","Monarchist","not specified"
"9161390","female","not specified","not specified","not specified","not specified","not specified"
"5880975","female","not specified","not specified","not specified","not specified","not specified"
"8696700","female","not specified","not specified","not specified","not specified","not specified"
"6239245","male","not specified","not specified","not specified","not specified","not specified"
"3249008","female","not specified","not specified","not specified","not specified","not specified"
"2408432","female","not specified","not specified","not specified","not specified","not specified"
"6445260","male","not specified","not specified","not specified","Moderate","not specified"
"3711773","female","not specified","not specified","not specified","not specified","not specified"
"4642303","male","not specified","not specified","not specified","not specified","not specified"
"3955431","male","not specified","not specified","not specified","Moderate","not specified"
"416459","female","not specified","not specified","not specified","not specified","not specified"
"8300894","male","compromisable","compromisable","kindness and honesty","not specified","not specified"
"3146150","male","not specified","not specified","not specified","not specified","not specified"
"257340","male","not specified","not specified","not specified","not specified","not specified"
"1135065","male","not specified","not specified","not specified","not specified","not specified"
"1874999","female","not specified","not specified","not specified","not specified","not specified"
"3431645","female","not specified","not specified","not specified","not specified","not specified"
"2739324","female","not specified","not specified","not specified","not specified","not specified"
"3061186","female","not specified","not specified","not specified","not specified","not specified"
"8838579","male","not specified","not specified","not specified","not specified","not specified"
"9918140","female","not specified","not specified","not specified","not specified","not specified"
"7473409","male","not specified","not specified","not specified","not specified","not specified"
"5243230","male","not specified","not specified","not specified","not specified","not specified"
"4751635","male","not specified","not specified","not specified","not specified","not specified"
"7597020","female","not specified","not specified","not specified","not specified","not specified"
"918452","female","not specified","not specified","not specified","not specified","not specified"
"9200158","male","not specified","not specified","not specified","not specified","not specified"
"3567805","male","very negative","negative","kindness and honesty","not specified","not specified"
"4787804","male","not specified","not specified","not specified","not specified","not specified"
"491675","female","not specified","not specified","not specified","not specified","not specified"
"5486183","male","not specified","not specified","not specified","not specified","not specified"
"8833337","male","not specified","not specified","not specified","not specified","not specified"
"175166","male","not specified","not specified","not specified","not specified","not specified"
"3529103","female","not specified","not specified","not specified","not specified","not specified"
"2759099","female","not specified","not specified","not specified","not specified","not specified"
"8548909","female","not specified","not specified","not specified","not specified","not specified"
"7242297","female","not specified","not specified","not specified","not specified","not specified"
"416231","female","not specified","not specified","not specified","not specified","not specified"
"2337150","male","not specified","not specified","not specified","not specified","not specified"
"1186","female","not specified","not specified","not specified","not specified","not specified"
"3926709","female","not specified","not specified","not specified","not specified","not specified"
"4139340","male","not specified","not specified","not specified","not specified","not specified"
"4474061","female","not specified","not specified","not specified","not specified","not specified"
"386255","male","not specified","not specified","not specified","not specified","not specified"
"722220","male","not specified","not specified","not specified","not specified","not specified"
"4236268","male","not specified","not specified","not specified","not specified","not specified"
"4545582","female","not specified","not specified","not specified","not specified","not specified"
"230484","female","not specified","not specified","not specified","not specified","not specified"
"6233750","male","not specified","not specified","not specified","not specified","not specified"
"8184134","female","not specified","not specified","not specified","not specified","not specified"
"9026075","male","not specified","not specified","not specified","not specified","not specified"
"4627396","male","not specified","not specified","not specified","Apathetic","not specified"
"6760467","female","not specified","not specified","not specified","not specified","not specified"
"7562207","female","not specified","not specified","not specified","Conservative","not specified"
"3162803","male","not specified","not specified","not specified","Liberal","not specified"
"90992","male","very negative","neutral","kindness and honesty","Liberal","not specified"
"6859402","female","not specified","not specified","not specified","not specified","not specified"
"8420605","male","not specified","not specified","not specified","not specified","not specified"
"662133","female","not specified","not specified","not specified","not specified","not specified"
"9032778","female","not specified","not specified","not specified","not specified","not specified"
"1594135","female","not specified","not specified","not specified","not specified","not specified"
"3257342","female","not specified","not specified","not specified","not specified","not specified"
"404192","female","not specified","not specified","not specified","not specified","not specified"
"4568774","female","not specified","not specified","not specified","not specified","not specified"
"5693343","male","not specified","not specified","not specified","not specified","not specified"
"9059015","female","not specified","not specified","not specified","not specified","not specified"
"6012828","female","not specified","not specified","not specified","Moderate","not specified"
"3491517","female","not specified","not specified","not specified","not specified","not specified"
"8023260","male","not specified","not specified","not specified","not specified","not specified"
